Country Code,Location,Sex,LtrsPureAlcConsumedAvg,LtrsPureAlcConsumedLow,LtrsPureAlcConsumedAvgHigh,TobaccoUse(%),TobaccoUseLow(%),TobaccoUseHigh(%),ParentLocationCode,ParentLocation,ObesityPrevalence(%),ObesityPrevalenceLow(%),ObesityPrevalenceHigh(%),Year,Percentage of cause-specific deaths out of total deaths,Death rate per 100 000 population
LKA,Sri Lanka,Male,4.87,2.36,7.6,40.7,32.7,48.7,SEAR,South-East Asia,3.88,3.16,4.66,2014,26.39810557,191.04294162
AUS,Australia,Female,4.91,3.49,6.43,13.7,11.5,15.8,WPR,Western Pacific,26.14,24.51,27.83,2014,31.12215739,198.02539522
RUS,Russian Federation,Female,4.94,3.52,6.43,15.4,12.8,18.0,EUR,Europe,25.03,23.11,27.1,2014,55.42853538,661.31745171
MEX,Mexico,All,4.98,2.69,7.38,17.0,14.4,19.6,AMR,Americas,30.69,29.76,31.6,2014,25.00691639,128.42577011
COL,Colombia,All,4.98,2.95,7.12,9.9,8.0,11.9,AMR,Americas,19.3,18.3,20.33,2014,31.46807204,140.73289863
ARM,Armenia,All,4.99,2.95,7.15,27.2,22.3,32.1,EUR,Europe,21.18,19.39,23.0,2014,47.87111207,440.20267838
CHE,Switzerland,Female,4.99,3.55,6.64,23.2,19.5,26.9,EUR,Europe,9.47,8.01,11.06,2014,34.84696818,276.95234771
POL,Poland,Female,5.15,3.64,6.76,23.2,19.1,27.4,EUR,Europe,21.23,19.74,22.75,2014,50.32046315,463.65681654
BEL,Belgium,Female,5.24,3.8,6.69,24.5,20.3,28.8,EUR,Europe,18.52,16.42,20.81,2014,30.6360012,285.51143807
LVA,Latvia,Female,5.26,3.5,7.15,23.0,18.9,27.0,EUR,Europe,22.29,18.59,26.26,2014,63.9989074,868.05426914
MDA,Republic of Moldova,Female,5.35,3.52,7.27,6.6,5.4,7.9,EUR,Europe,26.16,23.8,28.45,2014,66.61901737,681.812517
FRA,France,Female,5.33,3.84,6.98,32.5,25.7,39.4,EUR,Europe,11.35,10.38,12.32,2014,27.1075138,221.85946387
JAM,Jamaica,Male,5.41,2.47,8.52,18.3,12.5,24.1,AMR,Americas,14.2,11.99,16.64,2014,33.91843599,225.78970421
IRL,Ireland,Female,5.42,3.87,6.99,21.5,17.3,25.6,EUR,Europe,24.49,21.92,27.15,2014,30.67920585,188.4930231
BLR,Belarus,Female,5.4,3.95,6.95,14.3,11.2,17.4,EUR,Europe,23.75,20.85,26.83,2014,57.74540386,686.52381874
CRI,Costa Rica,Male,5.52,2.79,8.3,16.0,12.6,19.5,AMR,Americas,20.98,18.8,23.24,2014,28.37261894,135.92142392
PRY,Paraguay,All,5.55,3.43,7.89,14.6,10.3,19.0,AMR,Americas,26.33,23.2,29.6,2014,25.13067655,102.71949834
LUX,Luxembourg,Female,5.55,3.77,7.8,22.5,18.4,26.6,EUR,Europe,16.59,14.08,19.29,2014,34.71444569,223.20223202
DEU,Germany,Female,5.49,3.98,7.1,22.6,18.9,26.2,EUR,Europe,18.79,16.89,20.79,2014,42.48015726,459.03523833
TKM,Turkmenistan,Male,5.64,3.11,8.39,14.4,10.9,17.9,EUR,Europe,14.93,12.64,17.36,2014,42.70147685,286.88358584
AUT,Austria,Female,5.63,4.17,7.15,29.8,24.0,35.5,EUR,Europe,12.22,10.19,14.38,2014,46.95797002,438.98152257
BIH,Bosnia and Herzegovina,All,5.83,3.42,8.27,38.8,25.7,51.9,EUR,Europe,17.98,15.03,21.12,2014,49.76653696,467.84414148
CUB,Cuba,All,5.77,3.45,8.31,22.5,17.7,27.2,AMR,Americas,17.32,15.92,18.84,2014,37.81480328,322.16599699
PHL,Philippines,All,5.84,3.53,8.39,24.4,19.8,28.9,WPR,Western Pacific,6.23,5.63,6.87,2014,34.96300738,187.9873783
GEO,Georgia,Female,5.78,3.9,7.68,6.8,5.7,8.0,EUR,Europe,30.87,28.09,33.69,2014,45.13533586,560.8880685
CZE,Czechia,Female,5.77,4.29,7.38,27.1,22.5,31.6,EUR,Europe,20.49,18.69,22.3,2014,50.33798748,488.04651996
GUY,Guyana,All,5.87,3.88,8.06,15.3,11.5,19.1,AMR,Americas,22.73,20.71,24.91,2014,35.85722012,260.55175666
URY,Uruguay,All,6.0,3.8,8.3,24.4,20.4,28.3,AMR,Americas,26.54,24.26,28.93,2014,26.96282921,254.70263225
ECU,Ecuador,Male,6.28,3.6,9.27,19.2,13.9,24.5,AMR,Americas,16.0,14.45,17.63,2014,21.80976479,94.97774941
BLZ,Belize,All,6.37,3.67,9.16,10.0,7.3,12.7,AMR,Americas,36.57,34.08,39.18,2014,23.1884058,104.14131524
KGZ,Kyrgyzstan,All,6.41,4.22,8.83,28.0,21.9,34.1,EUR,Europe,21.42,19.21,23.74,2014,50.37551686,306.88082009
DOM,Dominican Republic,All,6.59,3.98,9.25,12.5,9.4,15.5,AMR,Americas,23.62,22.01,25.16,2014,25.79783683,114.03631396
PAN,Panama,All,6.65,4.35,8.99,7.1,5.7,8.4,AMR,Americas,28.53,26.48,30.66,2014,27.90160145,129.95621475
JPN,Japan,All,6.76,4.51,9.17,22.8,19.3,26.3,WPR,Western Pacific,4.14,3.86,4.44,2014,26.84673418,272.46635627
NOR,Norway,All,6.88,4.48,9.49,20.5,17.3,23.7,EUR,Europe,16.99,15.15,18.99,2014,29.04025382,228.05181347
LTU,Lithuania,Female,6.95,5.21,8.75,22.8,17.4,28.3,EUR,Europe,23.02,18.87,27.57,2014,64.89921557,826.69245232
BHS,Bahamas,Male,7.11,0.29,14.33,20.0,14.8,25.2,AMR,Americas,35.13,31.28,39.15,2014,29.08633697,192.98148045
EST,Estonia,Female,7.17,5.1,9.42,25.1,20.4,29.9,EUR,Europe,20.84,18.85,22.93,2014,61.3116802,701.25205211
MLT,Malta,All,7.41,4.64,10.39,26.8,21.5,32.2,EUR,Europe,30.63,27.5,33.77,2014,37.64525994,288.00643862
MUS,Mauritius,All,7.4,4.7,10.11,22.1,16.5,27.7,AFR,Africa,16.89,15.38,18.41,2014,31.75460903,245.80382444
ROU,Romania,Female,7.5,5.29,9.82,22.7,18.2,27.3,EUR,Europe,23.28,21.21,25.46,2014,65.85474016,787.24210311
KAZ,Kazakhstan,Male,7.57,4.13,11.07,43.1,35.3,50.9,EUR,Europe,13.18,11.16,15.33,2014,26.47332786,228.06134206
ISL,Iceland,All,7.64,5.05,10.21,13.8,11.2,16.5,EUR,Europe,19.15,16.67,21.73,2014,32.91015625,205.87350387
PER,Peru,All,7.68,4.92,10.43,11.7,8.9,14.4,AMR,Americas,20.01,19.35,20.63,2014,18.59961227,59.62374859
GRC,Greece,All,7.77,5.22,10.37,38.4,30.8,46.0,EUR,Europe,25.25,23.66,26.81,2014,39.69315984,414.48283656
ITA,Italy,All,7.77,5.35,10.31,23.5,19.9,27.2,EUR,Europe,16.27,15.18,17.39,2014,36.78036314,362.2242394
CYP,Cyprus,All,8.01,5.28,10.84,37.1,29.4,44.9,EUR,Europe,21.79,17.73,26.19,2014,34.93410363,226.80228701
CHL,Chile,All,8.04,5.57,10.53,33.6,27.6,39.6,AMR,Americas,31.35,29.74,33.0,2014,27.52451942,158.02728077
THA,Thailand,All,8.1,5.43,10.97,21.1,17.7,24.5,SEAR,South-East Asia,10.9,9.97,11.86,2014,13.46941399,90.33287216
MEX,Mexico,Male,8.18,4.42,12.1,25.8,21.9,29.7,AMR,Americas,25.97,24.65,27.34,2014,23.31348483,135.75398436
COL,Colombia,Male,8.16,4.84,11.66,14.5,11.7,17.4,AMR,Americas,14.36,13.08,15.7,2014,29.25527801,147.94659409
BRA,Brazil,All,8.34,5.64,11.2,14.9,12.0,17.8,AMR,Americas,20.75,19.86,21.65,2014,27.73937911,167.86679989
LCA,Saint Lucia,All,8.49,5.26,11.63,15.4,11.4,19.4,AMR,Americas,27.47,25.27,29.72,2014,31.64362519,231.07641226
ARM,Armenia,Male,8.59,5.1,12.32,52.6,43.1,62.0,EUR,Europe,14.02,11.41,16.78,2014,45.16492018,445.56286134
ARG,Argentina,All,8.63,6.14,11.23,26.6,21.8,31.4,AMR,Americas,27.91,26.43,29.43,2014,28.31990312,213.89616294
HRV,Croatia,All,8.69,5.06,12.33,36.1,28.8,43.4,EUR,Europe,24.37,22.64,26.17,2014,47.42815555,568.8953987
PRY,Paraguay,Male,8.75,5.4,12.44,23.4,16.4,30.4,AMR,Americas,23.23,18.74,27.87,2014,23.73215813,107.42859185
KOR,Republic of Korea,All,8.81,6.15,11.54,23.8,19.5,28.1,WPR,Western Pacific,4.55,4.32,4.78,2014,21.59720873,113.88968354
ZAF,South Africa,All,8.93,6.2,11.81,21.5,17.2,25.8,AFR,Africa,29.02,28.01,30.04,2014,17.26177872,143.47633678
ESP,Spain,All,9.19,6.46,11.98,30.3,25.0,35.5,EUR,Europe,18.23,17.01,19.47,2014,29.65742869,252.70192459
CUB,Cuba,Male,9.35,5.58,13.43,31.3,25.1,37.6,AMR,Americas,13.92,12.09,15.88,2014,36.45749066,336.81567189
PHL,Philippines,Male,9.41,5.7,13.55,42.1,34.1,50.1,WPR,Western Pacific,4.74,4.01,5.56,2014,34.1949776,208.88294493
GUY,Guyana,Male,9.51,6.31,13.01,27.7,20.9,34.5,AMR,Americas,13.48,11.2,16.06,2014,32.74336283,271.93314015
SWE,Sweden,All,9.54,6.46,12.74,28.3,23.7,33.0,EUR,Europe,14.7,13.27,16.19,2014,36.54532797,335.68102753
NLD,Netherlands (Kingdom of the),All,9.5,6.65,12.34,24.7,20.6,28.9,EUR,Europe,13.89,12.33,15.56,2014,27.19521918,224.50033822
USA,United States of America,All,9.47,6.7,12.27,26.3,21.7,30.9,AMR,Americas,37.94,36.85,39.01,2014,30.75519586,253.47580693
URY,Uruguay,Male,9.6,6.06,13.29,28.1,23.8,32.3,AMR,Americas,23.91,20.68,27.23,2014,24.69135802,246.39314588
DNK,Denmark,All,9.6,6.73,12.56,21.2,17.9,24.6,EUR,Europe,12.63,11.83,13.48,2014,23.74639656,214.70927896
FIN,Finland,All,9.66,6.9,12.6,26.5,22.2,30.9,EUR,Europe,19.68,18.53,20.86,2014,37.48020378,359.6623389
NZL,New Zealand,All,9.74,6.95,12.81,16.4,13.8,19.0,WPR,Western Pacific,30.16,29.17,31.11,2014,33.2466949,226.84047626
BIH,Bosnia and Herzegovina,Male,9.86,5.73,14.05,45.9,31.4,60.5,EUR,Europe,16.73,12.72,21.03,2014,45.31590414,444.09144868
CAN,Canada,All,9.95,6.89,13.02,15.8,13.5,18.1,AMR,Americas,24.97,23.81,26.15,2014,26.88460364,195.1052672
